sample_id	run_id	hapmap_id	population
NA20815.5.M_120131_5	ERR188475	NA20815	TSI
NA19093.7.M_120219_7	ERR188476	NA19093	YRI
NA12778.1.M_111124_4	ERR188477	NA12778	CEU
HG01791.2.M_111216_5	ERR188478	HG01791	GBR
NA20761.1.M_111124_7	ERR188479	NA20761	TSI
HG00362.3.M_120202_2	ERR188480	HG00362	FIN
NA07048.6.M_120119_6	ERR188481	NA07048	CEU
HG00308.3.M_120202_3	ERR188482	HG00308	FIN
NA12760.1.M_120209_5	ERR204819	NA12760	CEU
NA19223.1.M_120209_1	ERR204820	NA19223	YRI
NA19159.1.M_120209_8	ERR204821	NA19159	YRI
NA12889.1.M_120209_4	ERR204822	NA12889	CEU
HG00109.1.M_120209_4	ERR204823	HG00109	GBR
HG00355.7.M_120219_6	ERR204824	HG00355	FIN
NA19093.1.M_120209_7	ERR204825	NA19093	YRI
HG00114.1.M_120209_3	ERR204826	HG00114	GBR
HG00183.1.M_120209_4	ERR204827	HG00183	FIN
NA19129.1.M_120209_6	ERR204828	NA19129	YRI
NA19207.1.M_120209_8	ERR204829	NA19207	YRI
NA20527.5.M_120131_1	ERR204830	NA20527	TSI
HG00355.6.M_120119_1	ERR204831	HG00355	FIN
NA20756.1.M_120209_4	ERR204832	NA20756	TSI
NA12873.1.M_120209_7	ERR204833	NA12873	CEU
NA11930.1.M_120209_8	ERR204834	NA11930	CEU
NA18517.1.M_120209_7	ERR204835	NA18517	YRI
NA12763.1.M_120209_5	ERR204836	NA12763	CEU
NA19138.1.M_120209_7	ERR204837	NA19138	YRI
HG00377.1.M_120209_6	ERR204838	HG00377	FIN
NA12761.1.M_120209_3	ERR204839	NA12761	CEU
NA12827.1.M_120209_8	ERR204840	NA12827	CEU
NA11994.1.M_120209_3	ERR204841	NA11994	CEU
NA18873.1.M_120209_6	ERR204842	NA18873	YRI
NA19095.5.M_120131_5	ERR204843	NA19095	YRI
NA20798.1.M_120209_7	ERR204844	NA20798	TSI
NA19152.1.M_120209_3	ERR204845	NA19152	YRI
HG00355.1.M_111124_8	ERR204846	HG00355	FIN
NA19118.1.M_120209_5	ERR204847	NA19118	YRI
NA11832.1.M_120209_7	ERR204848	NA11832	CEU
NA19107.1.M_120209_4	ERR204849	NA19107	YRI
NA20518.1.M_120209_6	ERR204850	NA20518	TSI
NA18912.1.M_120209_5	ERR204851	NA18912	YRI
NA19248.1.M_120209_2	ERR204852	NA19248	YRI
NA07347.1.M_120209_7	ERR204853	NA07347	CEU
HG00355.4.M_120208_3	ERR204854	HG00355	FIN
NA06986.7.M_120219_6	ERR204855	NA06986	CEU
NA12275.1.M_120209_4	ERR204856	NA12275	CEU
HG00349.1.M_120209_4	ERR204857	HG00349	FIN
NA19095.1.M_120209_1	ERR204858	NA19095	YRI
NA18486.1.M_120209_6	ERR204859	NA18486	YRI
NA06986.1.M_120209_1	ERR204860	NA06986	CEU
NA19095.3.M_120202_1	ERR204861	NA19095	YRI
NA20771.1.M_120209_4	ERR204862	NA20771	TSI
NA06986.5.M_120131_5	ERR204863	NA06986	CEU
HG00321.1.M_120209_6	ERR204864	HG00321	FIN
HG00313.1.M_120209_2	ERR204865	HG00313	FIN
NA19197.1.M_120209_3	ERR204866	NA19197	YRI
NA12004.1.M_120209_8	ERR204867	NA12004	CEU
NA19095.1.M_111124_8	ERR204868	NA19095	YRI
NA12144.1.M_120209_3	ERR204869	NA12144	CEU
HG00315.1.M_120209_5	ERR204870	HG00315	FIN
NA20532.1.M_120209_5	ERR204871	NA20532	TSI
HG00338.1.M_120209_3	ERR204872	HG00338	FIN
NA20754.1.M_120209_8	ERR204873	NA20754	TSI
NA20527.7.M_120219_8	ERR204874	NA20527	TSI
NA12546.1.M_120209_6	ERR204875	NA12546	CEU
NA11995.1.M_120209_5	ERR204876	NA11995	CEU
NA18910.1.M_120209_5	ERR204877	NA18910	YRI
NA19108.1.M_120209_4	ERR204878	NA19108	YRI
HG00117.6.M_120217_1	ERR204879	HG00117	GBR
NA19247.1.M_120209_2	ERR204880	NA19247	YRI
NA07000.1.M_120209_2	ERR204881	NA07000	CEU
HG00099.1.M_120209_6	ERR204882	HG00099	GBR
NA12286.1.M_120209_6	ERR204883	NA12286	CEU
HG00138.1.M_120209_2	ERR204884	HG00138	GBR
NA11840.1.M_120209_4	ERR204885	NA11840	CEU
NA07357.1.M_120209_8	ERR204886	NA07357	CEU
HG00111.1.M_120209_8	ERR204887	HG00111	GBR
NA18934.1.M_120209_3	ERR204888	NA18934	YRI
NA18923.1.M_120209_6	ERR204889	NA18923	YRI
NA20773.1.M_120209_7	ERR204890	NA20773	TSI
NA19095.7.M_120219_8	ERR204891	NA19095	YRI
NA19121.1.M_120209_6	ERR204892	NA19121	YRI
NA12843.1.M_120209_5	ERR204893	NA12843	CEU
HG00117.5.M_120131_3	ERR204894	HG00117	GBR
NA12272.1.M_120209_5	ERR204895	NA12272	CEU
NA18909.1.M_120209_8	ERR204896	NA18909	YRI
NA12399.7.M_120219_1	ERR204897	NA12399	CEU
NA12776.1.M_120209_3	ERR204898	NA12776	CEU
NA12716.1.M_120209_5	ERR204899	NA12716	CEU
NA11829.1.M_120209_7	ERR204900	NA11829	CEU
HG00355.1.M_120209_1	ERR204901	HG00355	FIN
NA12043.1.M_120209_6	ERR204902	NA12043	CEU
NA18916.1.M_120209_7	ERR204903	NA18916	YRI
NA19189.1.M_120209_8	ERR204904	NA19189	YRI
HG00378.1.M_120209_5	ERR204905	HG00378	FIN
NA19213.1.M_120209_1	ERR204906	NA19213	YRI
NA12283.1.M_120209_4	ERR204907	NA12283	CEU
NA20527.3.M_120202_3	ERR204908	NA20527	TSI
HG00117.4.M_120208_4	ERR204909	HG00117	GBR
NA12829.1.M_120209_4	ERR204910	NA12829	CEU
NA20538.1.M_120209_5	ERR204911	NA20538	TSI
NA19099.1.M_120209_4	ERR204912	NA19099	YRI
NA19143.1.M_120209_4	ERR204913	NA19143	YRI
HG00143.1.M_120209_7	ERR204914	HG00143	GBR
NA12413.1.M_120209_6	ERR204915	NA12413	CEU
NA19225.6.M_120119_5	ERR204916	NA19225	YRI
NA19141.1.M_120209_1	ERR204917	NA19141	YRI
NA20513.1.M_120209_6	ERR204918	NA20513	TSI
NA18907.1.M_120209_1	ERR204919	NA18907	YRI
HG00119.1.M_120209_3	ERR204920	HG00119	GBR
NA11894.1.M_120209_4	ERR204921	NA11894	CEU
NA19131.1.M_120209_3	ERR204922	NA19131	YRI
NA19214.1.M_120209_7	ERR204923	NA19214	YRI
NA12045.1.M_120209_3	ERR204924	NA12045	CEU
NA18498.1.M_120209_2	ERR204925	NA18498	YRI
NA10851.1.M_120209_1	ERR204926	NA10851	CEU
NA12814.1.M_120209_3	ERR204927	NA12814	CEU
NA06994.1.M_120209_4	ERR204928	NA06994	CEU
NA06986.3.M_120202_1	ERR204929	NA06986	CEU
NA19095.4.M_120208_2	ERR204930	NA19095	YRI
NA11831.1.M_120209_5	ERR204931	NA11831	CEU
NA12006.1.M_120209_5	ERR204932	NA12006	CEU
NA19256.1.M_120209_3	ERR204933	NA19256	YRI
NA20527.4.M_120208_2	ERR204934	NA20527	TSI
HG00375.1.M_120209_2	ERR204935	HG00375	FIN
HG00105.1.M_120209_7	ERR204936	HG00105	GBR
NA20512.1.M_120209_8	ERR204937	NA20512	TSI
NA19257.1.M_120209_1	ERR204938	NA19257	YRI
NA12155.1.M_120209_5	ERR204939	NA12155	CEU
NA18861.4.M_120208_5	ERR204940	NA18861	YRI
NA12751.1.M_120209_6	ERR204941	NA12751	CEU
NA18908.1.M_120209_8	ERR204942	NA18908	YRI
NA12750.1.M_120209_7	ERR204943	NA12750	CEU
NA12340.1.M_120209_3	ERR204944	NA12340	CEU
NA12154.1.M_120209_3	ERR204945	NA12154	CEU
NA12287.1.M_120209_6	ERR204946	NA12287	CEU
HG00137.1.M_120209_6	ERR204947	HG00137	GBR
NA19172.1.M_120209_8	ERR204948	NA19172	YRI
NA18489.1.M_120209_8	ERR204949	NA18489	YRI
HG00117.7.M_120219_4	ERR204950	HG00117	GBR
HG00131.1.M_120209_8	ERR204951	HG00131	GBR
NA18505.1.M_120209_4	ERR204952	NA18505	YRI
HG00355.5.M_120131_3	ERR204953	HG00355	FIN
NA20765.1.M_120209_7	ERR204954	NA20765	TSI
NA06986.1.M_111124_7	ERR204955	NA06986	CEU
NA19209.1.M_120209_2	ERR204956	NA19209	YRI
HG00277.1.M_120209_5	ERR204957	HG00277	FIN
NA07051.1.M_120209_6	ERR204958	NA07051	CEU
NA19206.1.M_120209_2	ERR204959	NA19206	YRI
NA07048.1.M_120209_8	ERR204960	NA07048	CEU
NA18488.1.M_120209_8	ERR204961	NA18488	YRI
NA12813.1.M_120209_6	ERR204962	NA12813	CEU
NA18868.1.M_120209_7	ERR204963	NA18868	YRI
NA12348.1.M_120209_3	ERR204964	NA12348	CEU
NA20527.6.M_120119_5	ERR204965	NA20527	TSI
NA19200.1.M_120209_6	ERR204966	NA19200	YRI
NA11893.1.M_120209_4	ERR204967	NA11893	CEU
NA06986.6.M_120119_4	ERR204968	NA06986	CEU
NA19096.1.M_120209_8	ERR204969	NA19096	YRI
NA19222.1.M_120209_1	ERR204970	NA19222	YRI
NA19185.1.M_120209_4	ERR204971	NA19185	YRI
HG00355.3.M_120202_6	ERR204972	HG00355	FIN
NA12400.1.M_120209_7	ERR204973	NA12400	CEU
NA12234.1.M_120209_8	ERR204974	NA12234	CEU
HG00117.3.M_120202_6	ERR204975	HG00117	GBR
NA12874.1.M_120209_3	ERR204976	NA12874	CEU
NA12775.1.M_120209_4	ERR204977	NA12775	CEU
NA20527.1.M_111124_6	ERR204978	NA20527	TSI
NA12282.1.M_120209_6	ERR204979	NA12282	CEU
NA19116.1.M_120209_3	ERR204980	NA19116	YRI
NA19160.1.M_120209_5	ERR204981	NA19160	YRI
HG00142.1.M_120209_7	ERR204982	HG00142	GBR
NA12762.1.M_120209_5	ERR204983	NA12762	CEU
HG00133.1.M_120209_5	ERR204984	HG00133	GBR
NA19144.4.M_120208_2	ERR204985	NA19144	YRI
NA12872.1.M_120209_3	ERR204986	NA12872	CEU
NA19130.1.M_120209_1	ERR204987	NA19130	YRI
NA19175.1.M_120209_2	ERR204988	NA19175	YRI
NA19150.1.M_120209_7	ERR204989	NA19150	YRI
NA07037.1.M_120209_3	ERR204990	NA07037	CEU
NA18487.1.M_120209_7	ERR204991	NA18487	YRI
NA11830.1.M_120209_6	ERR204992	NA11830	CEU
NA20527.1.M_120209_1	ERR204993	NA20527	TSI
NA19119.1.M_120209_5	ERR204994	NA19119	YRI
NA19236.1.M_120209_5	ERR204995	NA19236	YRI
NA18511.1.M_120209_1	ERR204996	NA18511	YRI
NA19190.1.M_120209_8	ERR204997	NA19190	YRI
HG00328.1.M_120209_2	ERR204998	HG00328	FIN
NA10847.1.M_120209_7	ERR204999	NA10847	CEU
NA19114.1.M_120209_8	ERR205000	NA19114	YRI
NA11992.1.M_120209_6	ERR205001	NA11992	CEU
HG00134.1.M_120209_3	ERR205002	HG00134	GBR
NA12058.1.M_120209_7	ERR205003	NA12058	CEU
HG00117.2.M_111216_4	ERR205004	HG00117	GBR
NA06986.4.M_120208_1	ERR205005	NA06986	CEU
HG00117.1.M_120209_1	ERR205006	HG00117	GBR
NA19146.1.M_120209_8	ERR205007	NA19146	YRI
NA20543.1.M_120209_8	ERR205008	NA20543	TSI
NA19095.6.M_120119_4	ERR205009	NA19095	YRI
NA12842.1.M_120209_5	ERR205010	NA12842	CEU
NA12777.1.M_120209_4	ERR205011	NA12777	CEU
NA20786.1.M_120209_8	ERR205012	NA20786	TSI
NA18858.1.M_120209_7	ERR205013	NA18858	YRI
NA07346.1.M_120209_4	ERR205014	NA07346	CEU
HG00325.1.M_120209_3	ERR205015	HG00325	FIN
HG00237.4.M_120208_1	ERR205016	HG00237	GBR
NA18870.1.M_120209_4	ERR205017	NA18870	YRI
NA19113.1.M_120209_1	ERR205018	NA19113	YRI
NA18502.1.M_120209_6	ERR205019	NA18502	YRI
NA19198.1.M_120209_3	ERR205020	NA19198	YRI
NA19210.1.M_120209_1	ERR205021	NA19210	YRI
NA12156.1.M_120209_7	ERR205022	NA12156	CEU
NA11843.1.M_120209_5	ERR205023	NA11843	CEU
