sample_id	run_id	hapmap_id	population
NA18489.2.M_111216_1	ERR188151	NA18489	YRI
NA12751.2.M_111215_8	ERR188152	NA12751	CEU
NA20765.2.M_111215_5	ERR188153	NA20765	TSI
HG00251.2.M_111216_8	ERR188154	HG00251	GBR
NA20790.2.M_111215_6	ERR188155	NA20790	TSI
HG00335.2.M_111216_5	ERR188156	HG00335	FIN
NA12872.2.M_111216_2	ERR188157	NA12872	CEU
NA18502.7.M_120219_8	ERR188158	NA18502	YRI
HG00245.4.M_120208_6	ERR188159	HG00245	GBR
NA20513.4.M_120208_1	ERR188160	NA20513	TSI
NA11918.1.M_111124_3	ERR188161	NA11918	CEU
NA18508.1.M_111124_1	ERR188162	NA18508	YRI
HG00174.4.M_120208_3	ERR188163	HG00174	FIN
HG00159.7.M_120219_6	ERR188164	HG00159	GBR
NA18510.3.M_120202_7	ERR188165	NA18510	YRI
HG00108.7.M_120219_2	ERR188166	HG00108	GBR
HG00106.4.M_120208_5	ERR188167	HG00106	GBR
HG00346.2.M_120131_1	ERR188168	HG00346	FIN
HG00338.2.M_111215_8	ERR188169	HG00338	FIN
NA19131.2.M_111215_8	ERR188170	NA19131	YRI
NA20783.4.M_120208_6	ERR188171	NA20783	TSI
NA12154.5.M_120131_3	ERR188172	NA12154	CEU
NA20785.4.M_120208_1	ERR188173	NA20785	TSI
NA19198.2.M_111215_6	ERR188174	NA19198	YRI
HG00359.1.M_111124_6	ERR188175	HG00359	FIN
NA07357.2.M_111216_5	ERR188176	NA07357	CEU
NA12234.7.M_120219_6	ERR188177	NA12234	CEU
NA19114.2.M_111215_7	ERR188178	NA19114	YRI
NA20774.7.M_120219_1	ERR188179	NA20774	TSI
HG00177.4.M_120208_8	ERR188180	HG00177	FIN
NA12413.2.M_111215_6	ERR188181	NA12413	CEU
NA18912.7.M_120219_3	ERR188182	NA18912	YRI
NA19185.6.M_120119_4	ERR188183	NA19185	YRI
NA19147.2.M_120131_2	ERR188184	NA19147	YRI
HG00260.5.M_120131_7	ERR188185	HG00260	GBR
HG00115.6.M_120119_1	ERR188186	HG00115	GBR
HG00176.4.M_120208_2	ERR188187	HG00176	FIN
NA19099.2.M_111215_7	ERR188188	NA19099	YRI
HG00133.2.M_111216_2	ERR188189	HG00133	GBR
HG00171.3.M_120202_2	ERR188190	HG00171	FIN
NA20770.3.M_120202_1	ERR188191	NA20770	TSI
NA20786.2.M_111215_8	ERR188192	NA20786	TSI
NA19141.6.M_120119_2	ERR188193	NA19141	YRI
HG00284.1.M_111124_6	ERR188194	HG00284	FIN
NA20792.6.M_120119_6	ERR188195	NA20792	TSI
NA12717.1.M_111124_3	ERR188196	NA12717	CEU
HG00341.2.M_111216_7	ERR188197	HG00341	FIN
HG00373.2.M_111215_6	ERR188198	HG00373	FIN
NA20585.3.M_120202_6	ERR188199	NA20585	TSI
NA18519.1.M_111124_3	ERR188200	NA18519	YRI
NA20588.5.M_120131_5	ERR188201	NA20588	TSI
NA06989.3.M_120202_7	ERR188202	NA06989	CEU
NA20542.7.M_120219_2	ERR188203	NA20542	TSI
NA20524.2.M_111215_8	ERR188204	NA20524	TSI
HG00310.4.M_120208_3	ERR188205	HG00310	FIN
HG00100.2.M_111215_8	ERR188206	HG00100	GBR
NA19222.2.M_111216_7	ERR188207	NA19222	YRI
NA20538.3.M_120202_6	ERR188208	NA20538	TSI
NA19214.6.M_120119_2	ERR188209	NA19214	YRI
NA20816.3.M_120202_7	ERR188210	NA20816	TSI
NA19175.4.M_120208_8	ERR188211	NA19175	YRI
HG00231.2.M_111216_2	ERR188212	HG00231	GBR
NA06986.2.M_111215_4	ERR188213	NA06986	CEU
NA18486.7.M_120219_4	ERR188214	NA18486	YRI
HG00361.7.M_120219_5	ERR188215	HG00361	FIN
NA12873.7.M_120219_1	ERR188216	NA12873	CEU
NA11832.2.M_120131_2	ERR188217	NA11832	CEU
HG00325.5.M_120131_1	ERR188218	HG00325	FIN
HG00117.1.M_111124_2	ERR188219	HG00117	GBR
NA12400.2.M_111216_2	ERR188220	NA12400	CEU
NA19113.3.M_120202_1	ERR188221	NA19113	YRI
HG00265.2.M_111215_4	ERR188222	HG00265	GBR
NA18908.7.M_120219_7	ERR188223	NA18908	YRI
NA20528.2.M_120131_1	ERR188224	NA20528	TSI
NA19152.4.M_120208_4	ERR188225	NA19152	YRI
NA20532.3.M_120202_7	ERR188226	NA20532	TSI
NA12874.3.M_120202_2	ERR188227	NA12874	CEU
NA12829.7.M_120219_4	ERR188228	NA12829	CEU
NA12044.4.M_120208_8	ERR188229	NA12044	CEU
HG00278.1.M_111124_5	ERR188230	HG00278	FIN
HG00097.7.M_120219_2	ERR188231	HG00097	GBR
NA19160.3.M_120202_3	ERR188232	NA19160	YRI
NA11993.2.M_111216_4	ERR188233	NA11993	CEU
NA19116.2.M_111215_7	ERR188234	NA19116	YRI
NA11930.3.M_120202_8	ERR188235	NA11930	CEU
HG00118.4.M_120208_5	ERR188236	HG00118	GBR
HG00234.7.M_120219_4	ERR188237	HG00234	GBR
HG00269.2.M_111216_7	ERR188238	HG00269	FIN
NA20520.3.M_120202_2	ERR188239	NA20520	TSI
HG00306.1.M_111124_1	ERR188240	HG00306	FIN
HG00356.2.M_111215_6	ERR188241	HG00356	FIN
HG00258.1.M_111124_6	ERR188242	HG00258	GBR
NA19098.5.M_120131_1	ERR188243	NA19098	YRI
NA12718.1.M_111124_7	ERR188244	NA12718	CEU
HG00128.1.M_111124_6	ERR188245	HG00128	GBR
NA11840.6.M_120119_5	ERR188246	NA11840	CEU
HG00104.1.M_111124_5	ERR188247	HG00104	GBR
HG00178.4.M_120208_8	ERR188248	HG00178	FIN
NA20802.1.M_111124_7	ERR188249	NA20802	TSI
HG00272.7.M_120219_7	ERR188250	HG00272	FIN
NA20756.2.M_111216_6	ERR188251	NA20756	TSI
NA20544.4.M_120208_5	ERR188252	NA20544	TSI
NA20808.4.M_120208_6	ERR188253	NA20808	TSI
NA20506.1.M_120209_2	ERR188254	NA20506	TSI
HG00323.1.M_111124_4	ERR188255	HG00323	FIN
NA12777.4.M_120208_6	ERR188256	NA12777	CEU
HG00143.7.M_120219_2	ERR188257	HG00143	GBR
NA20530.2.M_111215_6	ERR188258	NA20530	TSI
NA20582.4.M_120208_2	ERR188259	NA20582	TSI
HG00369.5.M_120131_1	ERR188260	HG00369	FIN
NA19108.5.M_120131_7	ERR188261	NA19108	YRI
NA12283.2.M_111216_5	ERR188262	NA12283	CEU
HG00281.1.M_111124_3	ERR188263	HG00281	FIN
HG00274.6.M_120119_1	ERR188264	HG00274	FIN
NA20814.2.M_111215_6	ERR188265	NA20814	TSI
HG00282.2.M_111216_6	ERR188266	HG00282	FIN
HG00266.6.M_120119_3	ERR188267	HG00266	FIN
NA19095.2.M_120131_2	ERR188268	NA19095	YRI
NA18916.2.M_111215_6	ERR188269	NA18916	YRI
HG00342.1.M_111124_1	ERR188270	HG00342	FIN
HG00246.7.M_120219_4	ERR188271	HG00246	GBR
NA11881.1.M_111124_5	ERR188272	NA11881	CEU
NA18505.3.M_120202_1	ERR188273	NA18505	YRI
HG00277.3.M_120202_6	ERR188274	HG00277	FIN
NA19201.1.M_111124_3	ERR188275	NA19201	YRI
NA20758.2.M_111215_8	ERR188276	NA20758	TSI
NA12340.5.M_120131_7	ERR188277	NA12340	CEU
NA18861.1.M_120209_2	ERR188278	NA18861	YRI
NA12776.6.M_120119_6	ERR188279	NA12776	CEU
HG00381.3.M_120202_7	ERR188280	HG00381	FIN
NA20801.7.M_120219_5	ERR188281	NA20801	TSI
NA20809.6.M_120119_2	ERR188282	NA20809	TSI
NA18907.6.M_120217_1	ERR188283	NA18907	YRI
NA19223.7.M_120219_6	ERR188284	NA19223	YRI
HG00122.6.M_120119_1	ERR188285	HG00122	GBR
NA20805.4.M_120208_7	ERR188286	NA20805	TSI
HG00156.4.M_120208_1	ERR188287	HG00156	GBR
NA20507.1.M_111124_7	ERR188288	NA20507	TSI
HG00232.7.M_120219_3	ERR188289	HG00232	GBR
NA20811.1.M_111124_5	ERR188290	NA20811	TSI
NA12813.2.M_111216_6	ERR188291	NA12813	CEU
NA19189.5.M_120131_7	ERR188292	NA19189	YRI
HG00116.2.M_120131_1	ERR188293	HG00116	GBR
HG00332.6.M_120217_1	ERR188294	HG00332	FIN
NA20757.1.M_111124_1	ERR188295	NA20757	TSI
HG00330.1.M_120209_2	ERR188296	HG00330	FIN
NA20503.1.M_111124_5	ERR188297	NA20503	TSI
NA18867.1.M_111124_2	ERR188298	NA18867	YRI
HG00376.2.M_111216_1	ERR188299	HG00376	FIN
HG00319.4.M_120208_7	ERR188300	HG00319	FIN
NA11994.2.M_111216_7	ERR188301	NA11994	CEU
HG00183.5.M_120131_5	ERR188302	HG00183	FIN
HG00364.2.M_111215_8	ERR188303	HG00364	FIN
HG00179.1.M_111124_8	ERR188304	HG00179	FIN
NA20773.6.M_120119_4	ERR188305	NA20773	TSI
NA19138.3.M_120202_8	ERR188306	NA19138	YRI
HG00101.1.M_111124_4	ERR188307	HG00101	GBR
NA12760.3.M_120202_3	ERR188308	NA12760	CEU
HG00150.4.M_120208_7	ERR188309	HG00150	GBR
HG00124.3.M_120223_7	ERR188310	HG00124	GBR
NA18488.4.M_120208_7	ERR188311	NA18488	YRI
HG00233.2.M_111215_8	ERR188312	HG00233	GBR
NA18873.4.M_120208_7	ERR188313	NA18873	YRI
HG00380.3.M_120202_8	ERR188314	HG00380	FIN
HG00120.3.M_120202_2	ERR188315	HG00120	GBR
NA20796.1.M_120209_2	ERR188316	NA20796	TSI
NA20527.2.M_111215_7	ERR188317	NA20527	TSI
HG00276.2.M_111215_8	ERR188318	HG00276	FIN
NA12249.1.M_120209_1	ERR188319	NA12249	CEU
HG00185.1.M_111124_5	ERR188320	HG00185	FIN
HG00339.4.M_120208_1	ERR188321	HG00339	FIN
NA19190.4.M_120208_2	ERR188322	NA19190	YRI
HG00257.4.M_120208_5	ERR188323	HG00257	GBR
NA07347.7.M_120219_3	ERR188324	NA07347	CEU
NA06984.1.M_111124_4	ERR188325	NA06984	CEU
HG00275.4.M_120208_8	ERR188326	HG00275	FIN
NA06985.1.M_111124_7	ERR188327	NA06985	CEU
HG00109.3.M_120202_5	ERR188328	HG00109	GBR
NA20505.1.M_111124_6	ERR188329	NA20505	TSI
HG00379.5.M_120131_3	ERR188330	HG00379	FIN
NA12155.4.M_120208_8	ERR188331	NA12155	CEU
HG00158.1.M_111124_8	ERR188332	HG00158	GBR
HG00238.5.M_120131_5	ERR188333	HG00238	GBR
NA20543.2.M_111215_5	ERR188334	NA20543	TSI
NA20798.6.M_120119_6	ERR188335	NA20798	TSI
NA12004.4.M_120208_5	ERR188336	NA12004	CEU
HG00127.1.M_111124_2	ERR188337	HG00127	GBR
HG00134.6.M_120119_6	ERR188338	HG00134	GBR
NA12815.1.M_111124_3	ERR188339	NA12815	CEU
HG00353.1.M_111124_6	ERR188340	HG00353	FIN
HG00328.2.M_111215_4	ERR188341	HG00328	FIN
HG00111.2.M_111215_4	ERR188342	HG00111	GBR
NA20589.1.M_111124_3	ERR188343	NA20589	TSI
NA18868.5.M_120131_3	ERR188344	NA18868	YRI
NA20771.2.M_111215_7	ERR188345	NA20771	TSI
HG00312.7.M_120219_6	ERR188346	HG00312	FIN
NA20525.1.M_111124_1	ERR188347	NA20525	TSI
NA11995.7.M_120219_5	ERR188348	NA11995	CEU
NA12842.6.M_120119_4	ERR188349	NA12842	CEU
NA12399.1.M_120209_4	ERR188350	NA12399	CEU
HG00253.5.M_120131_7	ERR188351	HG00253	GBR
NA18909.4.M_120208_8	ERR188352	NA18909	YRI
NA20586.2.M_111215_7	ERR188353	NA20586	TSI
NA12775.7.M_120219_5	ERR188354	NA12775	CEU
HG00267.4.M_120208_6	ERR188355	HG00267	FIN
NA20514.1.M_111124_4	ERR188356	NA20514	TSI
NA20517.3.M_120202_8	ERR188357	NA20517	TSI
HG00367.2.M_120131_1	ERR188358	HG00367	FIN
NA20537.3.M_120202_8	ERR188359	NA20537	TSI
NA20787.6.M_120119_3	ERR188360	NA20787	TSI
HG00189.1.M_111124_5	ERR188361	HG00189	FIN
HG00371.1.M_111124_3	ERR188362	HG00371	FIN
NA19206.2.M_111215_5	ERR188363	NA19206	YRI
NA19248.5.M_120131_1	ERR188364	NA19248	YRI
NA19117.1.M_111124_4	ERR188365	NA19117	YRI
